Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
ZWE,2020,SH.DTH.IMRT,16354
ZWE,2019,SH.DTH.IMRT,16615
ZWE,2018,SH.DTH.IMRT,17196
ZWE,2017,SH.DTH.IMRT,18018
ZWE,2016,SH.DTH.IMRT,18753
ZWE,2015,SH.DTH.IMRT,19665
ZWE,2014,SH.DTH.IMRT,20245
ZWE,2013,SH.DTH.IMRT,21210
ZWE,2012,SH.DTH.IMRT,21931
ZWE,2011,SH.DTH.IMRT,23680
ZWE,2010,SH.DTH.IMRT,23804
ZWE,2009,SH.DTH.IMRT,24133
ZWE,2008,SH.DTH.IMRT,23711
ZWE,2007,SH.DTH.IMRT,23113
ZWE,2006,SH.DTH.IMRT,22017
ZWE,2005,SH.DTH.IMRT,20791
ZWE,2004,SH.DTH.IMRT,20130
ZWE,2003,SH.DTH.IMRT,19451
ZWE,2002,SH.DTH.IMRT,19261
ZWE,2001,SH.DTH.IMRT,19175
ZWE,2000,SH.DTH.IMRT,19301
ZWE,1999,SH.DTH.IMRT,19623
ZWE,1998,SH.DTH.IMRT,20086
ZWE,1997,SH.DTH.IMRT,20473
ZWE,1996,SH.DTH.IMRT,20714
ZWE,1995,SH.DTH.IMRT,20652
ZWE,1994,SH.DTH.IMRT,20226
ZWE,1993,SH.DTH.IMRT,19822
ZWE,1992,SH.DTH.IMRT,19381
ZWE,1991,SH.DTH.IMRT,18984
ZWE,1990,SH.DTH.IMRT,18705
ZWE,1989,SH.DTH.IMRT,18530
ZWE,1988,SH.DTH.IMRT,18505
ZWE,1987,SH.DTH.IMRT,18651
ZWE,1986,SH.DTH.IMRT,18935
ZWE,1985,SH.DTH.IMRT,19502
ZWE,1984,SH.DTH.IMRT,20242
ZWE,1983,SH.DTH.IMRT,21111
ZWE,1982,SH.DTH.IMRT,21980
ZWE,1981,SH.DTH.IMRT,22713
ZWE,1980,SH.DTH.IMRT,23175
ZWE,1979,SH.DTH.IMRT,23276
ZWE,1978,SH.DTH.IMRT,23098
ZWE,1977,SH.DTH.IMRT,22638
ZWE,1976,SH.DTH.IMRT,21993
ZWE,1975,SH.DTH.IMRT,21253
ZWE,1974,SH.DTH.IMRT,20475
ZWE,1973,SH.DTH.IMRT,19740
ZWE,1972,SH.DTH.IMRT,19058
ZWE,1971,SH.DTH.IMRT,18455
ZWE,1970,SH.DTH.IMRT,17950
ZWE,1969,SH.DTH.IMRT,17557
ZWE,1968,SH.DTH.IMRT,17252
ZWE,1967,SH.DTH.IMRT,17059
ZWE,1966,SH.DTH.IMRT,16940
ZWE,1965,SH.DTH.IMRT,16851
ZWE,1964,SH.DTH.IMRT,16790
ZWE,1963,SH.DTH.IMRT,16735
ZWE,1962,SH.DTH.IMRT,16641
ZWE,1961,SH.DTH.IMRT,16514
ZWE,1960,SH.DTH.IMRT,16350
ZWE,2020,SH.DTH.MORT,23533
ZWE,2019,SH.DTH.MORT,24006
ZWE,2018,SH.DTH.MORT,24648
ZWE,2017,SH.DTH.MORT,26069
ZWE,2016,SH.DTH.MORT,27195
ZWE,2015,SH.DTH.MORT,28708
ZWE,2014,SH.DTH.MORT,29507
ZWE,2013,SH.DTH.MORT,31096
ZWE,2012,SH.DTH.MORT,33485
ZWE,2011,SH.DTH.MORT,36899
ZWE,2010,SH.DTH.MORT,38616
ZWE,2009,SH.DTH.MORT,39804
ZWE,2008,SH.DTH.MORT,40138
ZWE,2007,SH.DTH.MORT,39658
ZWE,2006,SH.DTH.MORT,38398
ZWE,2005,SH.DTH.MORT,36797
ZWE,2004,SH.DTH.MORT,35827
ZWE,2003,SH.DTH.MORT,34954
ZWE,2002,SH.DTH.MORT,34884
ZWE,2001,SH.DTH.MORT,34969
ZWE,2000,SH.DTH.MORT,35389
ZWE,1999,SH.DTH.MORT,35824
ZWE,1998,SH.DTH.MORT,36324
ZWE,1997,SH.DTH.MORT,36613
ZWE,1996,SH.DTH.MORT,36514
ZWE,1995,SH.DTH.MORT,35883
ZWE,1994,SH.DTH.MORT,34804
ZWE,1993,SH.DTH.MORT,33510
ZWE,1992,SH.DTH.MORT,31990
ZWE,1991,SH.DTH.MORT,30486
ZWE,1990,SH.DTH.MORT,29244
ZWE,1989,SH.DTH.MORT,28213
ZWE,1988,SH.DTH.MORT,27650
ZWE,1987,SH.DTH.MORT,27585
ZWE,1986,SH.DTH.MORT,28022
ZWE,1985,SH.DTH.MORT,29020
ZWE,1984,SH.DTH.MORT,30419
ZWE,1983,SH.DTH.MORT,32044
ZWE,1982,SH.DTH.MORT,33650
ZWE,1981,SH.DTH.MORT,34977
ZWE,1980,SH.DTH.MORT,35783
ZWE,1979,SH.DTH.MORT,35946
ZWE,1978,SH.DTH.MORT,35613
ZWE,1977,SH.DTH.MORT,34815
ZWE,1976,SH.DTH.MORT,33739
ZWE,1975,SH.DTH.MORT,32546
ZWE,1974,SH.DTH.MORT,31329
ZWE,1973,SH.DTH.MORT,30211
ZWE,1972,SH.DTH.MORT,29195
ZWE,1971,SH.DTH.MORT,28312
ZWE,1970,SH.DTH.MORT,27586
ZWE,1969,SH.DTH.MORT,27037
ZWE,1968,SH.DTH.MORT,26633
ZWE,1967,SH.DTH.MORT,26412
ZWE,1966,SH.DTH.MORT,26311
ZWE,1965,SH.DTH.MORT,26253
ZWE,1964,SH.DTH.MORT,26241
ZWE,1963,SH.DTH.MORT,26241
ZWE,1962,SH.DTH.MORT,26178
ZWE,1961,SH.DTH.MORT,26062
ZWE,1960,SH.DTH.MORT,25888
ZWE,2020,SH.DTH.NMRT,11109
ZWE,2019,SH.DTH.NMRT,11436
ZWE,2018,SH.DTH.NMRT,11792
ZWE,2017,SH.DTH.NMRT,12170
ZWE,2016,SH.DTH.NMRT,12588
ZWE,2015,SH.DTH.NMRT,12974
ZWE,2014,SH.DTH.NMRT,13345
ZWE,2013,SH.DTH.NMRT,13695
ZWE,2012,SH.DTH.NMRT,14011
ZWE,2011,SH.DTH.NMRT,14249
ZWE,2010,SH.DTH.NMRT,14339
ZWE,2009,SH.DTH.NMRT,14222
ZWE,2008,SH.DTH.NMRT,13853
ZWE,2007,SH.DTH.NMRT,13265
ZWE,2006,SH.DTH.NMRT,12601
ZWE,2005,SH.DTH.NMRT,11920
ZWE,2004,SH.DTH.NMRT,11285
ZWE,2003,SH.DTH.NMRT,10671
ZWE,2002,SH.DTH.NMRT,10080
ZWE,2001,SH.DTH.NMRT,9586
ZWE,2000,SH.DTH.NMRT,9252
ZWE,1999,SH.DTH.NMRT,9139
ZWE,1998,SH.DTH.NMRT,9142
ZWE,1997,SH.DTH.NMRT,9161
ZWE,1996,SH.DTH.NMRT,9126
ZWE,1995,SH.DTH.NMRT,9015
ZWE,1994,SH.DTH.NMRT,8896
ZWE,1993,SH.DTH.NMRT,8814
ZWE,1992,SH.DTH.NMRT,8830
ZWE,1991,SH.DTH.NMRT,8949
ZWE,1990,SH.DTH.NMRT,9156
ZWE,1989,SH.DTH.NMRT,9393
ZWE,1988,SH.DTH.NMRT,9612
ZWE,1987,SH.DTH.NMRT,9798
ZWE,1986,SH.DTH.NMRT,9975
ZWE,1985,SH.DTH.NMRT,10142
ZWE,1984,SH.DTH.NMRT,10325
ZWE,1983,SH.DTH.NMRT,10506
ZWE,1982,SH.DTH.NMRT,10675
ZWE,1981,SH.DTH.NMRT,10849
ZWE,1980,SH.DTH.NMRT,10972
ZWE,1979,SH.DTH.NMRT,11024
ZWE,1978,SH.DTH.NMRT,10992
ZWE,1977,SH.DTH.NMRT,10846
ZWE,1976,SH.DTH.NMRT,10605
ZWE,1975,SH.DTH.NMRT,10242
ZWE,1974,SH.DTH.NMRT,9796
ZWE,1973,SH.DTH.NMRT,9317
ZWE,1972,SH.DTH.NMRT,8859
ZWE,1971,SH.DTH.NMRT,8441
ZWE,1970,SH.DTH.NMRT,8072
ZWE,1969,SH.DTH.NMRT,7757
ZWE,1968,SH.DTH.NMRT,7484
ZWE,1967,SH.DTH.NMRT,7253
ZWE,1966,SH.DTH.NMRT,7055
